date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:00:04	7319/7319	---M--	200	added ('OK')	text/html	etag:%224816d6-1c97-4d0699b1ec4d9%22	http://coms363:goto363@www.cs.iastate.edu/~cs363/index.html	www.cs.iastate.edu/_cs363/index.html	(from )
23:00:04	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Dec%202012%2005:00:01%20GMT	http://coms363:goto363@www.cs.iastate.edu/robots.txt		(from )
23:00:05	3755/3755	---M--	200	added ('OK')	text/html	etag:%224a0260-eab-4c8d7d2ccbec0%22	http://coms363:goto363@www.cs.iastate.edu/~cs363/Getting_Help/Getting_Help.htm	www.cs.iastate.edu/_cs363/Getting_Help/Getting_Help.htm	(from )
23:00:05	19605/19605	---M--	200	added ('OK')	text/html	etag:%22481011-4c95-4c7e6511b6d00%22	http://coms363:goto363@www.cs.iastate.edu/~cs363/CourseInfo/CourseInfo.htm	www.cs.iastate.edu/_cs363/CourseInfo/CourseInfo.htm	(from )
23:00:05	5248/5248	---M--	200	added ('OK')	text/html	etag:%22481010-1480-4cf91bee7d604%22	http://coms363:goto363@www.cs.iastate.edu/~cs363/Homeworks/Homeworks.htm	www.cs.iastate.edu/_cs363/Homeworks/Homeworks.htm	(from )
23:00:05	9455/9455	---M--	200	added ('OK')	text/html	etag:%224a5174-24ef-4cddbf7d0fe86%22	http://coms363:goto363@www.cs.iastate.edu/~cs363/Projects/Projects.htm	www.cs.iastate.edu/_cs363/Projects/Projects.htm	(from )
23:00:06	15697/15697	---M--	200	added ('OK')	text/html	etag:%224a02e2-3d51-4c896c85c89c0%22	http://coms363:goto363@www.cs.iastate.edu/~cs363/Software_Systems/Software_Systems.htm	www.cs.iastate.edu/_cs363/Software_Systems/Software_Systems.htm	(from )
23:00:06	2819/2819	---M--	200	added ('OK')	text/html	etag:%224a030c-b03-4b2e5c5585cc0%22	http://coms363:goto363@www.cs.iastate.edu/~cs363/Tests/Tests.htm	www.cs.iastate.edu/_cs363/Tests/Tests.htm	(from )
23:00:06	1675/1675	---M--	200	added ('OK')	text/html	etag:%224a02c9-68b-4d0699b1e99e1%22	http://coms363:goto363@www.cs.iastate.edu/~cs363/Reports/Reports.htm	www.cs.iastate.edu/_cs363/Reports/Reports.htm	(from )
23:00:07	25772/25772	---M--	200	added ('OK')	text/html	etag:%224a025f-64ac-4ae9f0671d880%22	http://coms363:goto363@www.cs.iastate.edu/~cs363/Getting_Help/FAQ.htm	www.cs.iastate.edu/_cs363/Getting_Help/FAQ.htm	(from )
