		Loan Amount: $50000.00

Interest   Duration   Monthly       Total
  Rate     (years)    Payment       Payment

  10.00%     20       $482.51     $115802.60
  10.00%     25       $454.35     $136305.11
  10.00%     30       $438.79     $157962.88
  10.25%     20       $490.82     $117797.21
  10.25%     25       $463.19     $138957.49
  10.25%     30       $448.05     $161298.23
  10.50%     20       $499.19     $119805.59
  10.50%     25       $472.09     $141627.26
  10.50%     30       $457.37     $164653.07
  10.75%     20       $507.61     $121827.47
  10.75%     25       $481.05     $144313.91
  10.75%     30       $466.74     $168026.65
  11.00%     20       $516.09     $123862.61
  11.00%     25       $490.06     $147016.96
  11.00%     30       $476.16     $171418.21
  11.25%     20       $524.63     $125910.72
  11.25%     25       $499.12     $149735.93
  11.25%     30       $485.63     $174827.05
  11.50%     20       $533.21     $127971.56
  11.50%     25       $508.23     $152470.34
  11.50%     30       $495.15     $178252.46
  11.75%     20       $541.85     $130044.85
  11.75%     25       $517.40     $155219.73
  11.75%     30       $504.70     $181693.75
  12.00%     20       $550.54     $132130.34
  12.00%     25       $526.61     $157983.62
  12.00%     30       $514.31     $185150.27
  12.25%     20       $559.28     $134227.76
  12.25%     25       $535.87     $160761.57
  12.25%     30       $523.95     $188621.36
  12.50%     20       $568.07     $136336.87
  12.50%     25       $545.18     $163553.12
  12.50%     30       $533.63     $192106.40
  12.75%     20       $576.91     $138457.39
  12.75%     25       $554.53     $166357.84
  12.75%     30       $543.35     $195604.78
  13.00%     20       $585.79     $140589.09
  13.00%     25       $563.92     $169175.30
  13.00%     30       $553.10     $199115.91
  13.25%     20       $594.72     $142731.69
  13.25%     25       $573.35     $172005.06
  13.25%     30       $562.89     $202639.23
  13.50%     20       $603.69     $144884.96
  13.50%     25       $582.82     $174846.73
  13.50%     30       $572.71     $206174.19
  13.75%     20       $612.70     $147048.65
  13.75%     25       $592.33     $177699.90
  13.75%     30       $582.56     $209720.26
